TUBB8	autosomal dominant, autosomal recessive
KDF1	autosomal dominant
PRDM13	autosomal recessive
CCDC174	autosomal recessive
TMX2	autosomal recessive
STARD7	autosomal dominant
CEP104	autosomal recessive
SNORD118	autosomal recessive
THUMPD1	autosomal recessive
MORC2	autosomal dominant
MICOS13	autosomal recessive
SIPA1L3	autosomal recessive
KATNIP	autosomal recessive
KRT25	autosomal recessive
PRDM8	autosomal recessive
PRR12	autosomal dominant
ACBD5	autosomal recessive
CSGALNACT1	autosomal recessive
RSPRY1	autosomal recessive
SPAG17	autosomal recessive
NDNF	autosomal dominant
UBAP2L	autosomal dominant
VPS50	autosomal recessive
PRDM12	autosomal recessive
ZNF408	autosomal dominant|autosomal recessive
OVOL2	autosomal dominant
SLC32A1	autosomal dominant
ARHGEF18	autosomal recessive
DHX30	autosomal dominant
TEFM	autosomal recessive
ADGRL1	autosomal dominant
PYCR2	autosomal recessive
POLR1A	autosomal dominant|autosomal recessive
KCTD17	autosomal dominant
ZCCHC8	autosomal dominant
SCYL2	autosomal recessive
COQ5	autosomal recessive
ACBD6	autosomal recessive
CHAMP1	autosomal dominant
LEMD2	autosomal recessive|autosomal dominant
FRMD5	autosomal dominant
FRMD4A	autosomal recessive
FLG2	autosomal recessive
PUS3	autosomal recessive
PUS7	autosomal recessive
CLPB	autosomal dominant|autosomal recessive
GSX2	autosomal recessive
CHCHD2	autosomal dominant
CREB3L1	autosomal recessive
ZNF292	autosomal dominant
TMEM107	autosomal recessive
TMEM132E	autosomal recessive
DDRGK1	autosomal recessive
CKAP2L	autosomal recessive
NSRP1	autosomal recessive
SLC25A36	autosomal recessive
TGDS	autosomal recessive
WDR73	autosomal recessive
RNF220	autosomal recessive
CWF19L1	autosomal recessive
LMOD3	autosomal recessive
TOP6BL	autosomal recessive
FAR1	autosomal dominant|autosomal recessive
SNX14	autosomal recessive
TMEM240	autosomal dominant
UQCC3	autosomal recessive
SPRTN	autosomal recessive
FERRY3	autosomal recessive
ANKLE2	autosomal recessive
ELP2	autosomal recessive
ANLN	autosomal dominant
SCAF4	autosomal dominant
TRMT10A	autosomal recessive
JAGN1	autosomal recessive
COA8	autosomal recessive
ODAD3	autosomal recessive
ZSWIM6	autosomal dominant
SPEG	autosomal recessive
TMEM98	autosomal dominant
C2CD3	autosomal recessive
ANKRD17	autosomal dominant
NAXD	autosomal recessive
CHCHD10	autosomal dominant
PPP2R3C	autosomal recessive|autosomal dominant
AGBL5	autosomal recessive
ZNF407	autosomal recessive
RSPH3	autosomal recessive
IFT27	autosomal recessive
VPS53	autosomal recessive
CEP83	autosomal recessive
TKFC	autosomal recessive
DEGS1	autosomal recessive
LYRM7	autosomal recessive
DCAF8	autosomal dominant
CLDN9	autosomal recessive
FSIP2	autosomal recessive
NUDT15	autosomal dominant
AHDC1	autosomal dominant
NADK2	autosomal recessive
AP1S3	autosomal dominant
GRXCR2	autosomal recessive
KIDINS220	autosomal dominant|autosomal recessive
KIZ	autosomal recessive
WASHC4	autosomal recessive
SETD5	autosomal dominant
VPS51	autosomal recessive
